,comment
69,Thanks!
70,"Oh, my gosh, this is the best video to explain deeplearning that I'v watched, cheers, you are excellent!"
71,Best !!!!
72,"If each pixel has a grayscale value between 0 (black) and 1 (white), how can black pixels be used to contribute to the activation function output in the strategy mentioned at 10:02? Multiplying 0 by a weight value gives 0 and doesn't contribute to the activation function output."
73,why do we need weighted sum > 10 in 19:13 ? May anyone answer to me? Thank you
74,Wah
75,"I hate that we use the term ""neurons"" for deep learning. What a slap in the face to a real neuron."
76,i'm literally in highschool watching this for fun and somehow my dumbass is able to understand it. Great work!!!
77,i'm confused
78,can anyone help me with what is actually the weight is??
79,强
80,"Original bnn tree of life, only a single input node per person"
81,One of my all-time favourite videos!!
82,Lisha Lee's vocal frying is top notch! j/k loved the vid. Thank you.
83,just start working on my thesis by watching this video
84,Thanks!
85,Looks like I won't be taking computer science next term. Thanks for showing me I suck at math. More like I lack the necessary mathematical common sense.
86,I don't know what to say!!! but Thank you!
87,Thanks!
88,Subbed. The animations reveal how much effort you put in your videos! Thank you for taking the time to educate us! I am also a fan of how you elucidated everything with easy to understand language avoiding  jargons.
89,"you just explained a week of AI learning material in 20 minutes.
And I understood this better. Kudos to u."
90,Thanks!
91,people with bad handwriting types  a number. the neural network : oh who the shit is typing
92,😃👍👍👍
93,"Я немного офигел от того, что все понял. Thx for your work"
94,Valeu!
95,Wonderful Animation. Please give me lead to owe such animation.
96,Thank you for this! You are helping so many people 🙏
97,Well done my man! Much appreciated :)
98,"Animations, wow!"
99,Lit up!
100,"OH MY GOD !!!!!!!!!!

thanks a lot"
101,How can someone consistently deliver great content like this?
102,"wait let me explain, by i love pain, cell block 6, OH boy, the phones didn't work, and i said no problem, i feel nothing, because i have felt no one, basically you set it up to try and be fifity fifty, but at this point it is now cleary at 60, drake cell block 6 cell 6 i sex 4 times try let me explain, no it isn't lyrics, it isn't a haiku, it isn't fake, i am not gay, i love pain because it reminds me that i am alive, remember seizures, then remember i have only had negative expereinces in my laugh, 33 year who still has never touched a womans boobs, i know they are soft, like her lips, soft, i know they have to be soft, but i know a smiling face, i know when people are happy, i know if i sacrifice, and no one cares about me, then more people will smile, that is simple, that is a journal original, and why not make the one who has never felt anything good suffer, just keep suffering, just have him keep suffering, and then when the time comes, keep going and never stop, that stops you from putting it on other people, it stops you from putting it on other people. 

ok that is the poetic shitty rap head spce shit, what poetic justice shit version, they were on lockdown, they wanted phones i wanted a court date, they refuse to give me a court date, i refuse to go back to my cell, and in the end i offered to go on nutri loaf, and scared i love pain, but then also around that time, i was punch by some wanna be military, because i was yeling this is a paramilitary facility, and so then he punched me, and i yelled i love pain, so i yelled twice and it seems that story is then used to say he loves pain, he scared, he was being a bitch, or then he was scared, or then he likes it in the ass, or then that he likes to where heels and suck cock, so yet again and again you see these things, and you leave him on an island, challenge island, my brother's creative invention to try and come up with something, he mention he was doing his taxes and looking at his reciepts, wow my life really has become that much of a joke, and whats worse is just how much celebrities have helped them, politicians have helped them, and then it is like, why, why, what is it your accomplishing? has it ever occurred to you that i know better than you, because people learn from there fathers, and then do better, i mean that is what sons do, they learn from thier fathers then do better, it seems to me, that what is happening is an underestimation of knowledge, truly an underestimation of whatever it is that it is that church teaches. ask someone what is wrong, if you see a problem, if you are hurt, say so, if you are hurt, then say so, if you are worried express those fears, if you are unsure, and know you can ask, then do so, if you are like me, and it turns out no one knows you, no one knows you the way you thought, then sadly, just find peace with yourself. because friendship would of been solidfied at the first week, the first month, yes uncertainty, but the conversation goes,
dwight: hey did you do something online, with like a journal, like on purpose, 

or like you know go to the lake behind the house, like you did, and ask if i ever meant to realease anything, release anything on purpose? didn't do it, didn't tell me anything, instead fka twigs and some dumb stripper shit, yea sabbs suck by the way, good luck with your relationship goals, bitch can dance though bitch can dance
money? recongnition? didn't you find it strange nothing was coming my way, it seems to me that the real problem, is that no one bothered to care in the beginning, and the people who may have some type of caring, by the time they understood, by the time they knew the scale it was too late, but when, and when is the funny thing because i am getting 6 shit and that mixtape came out nearly 7 years ago, sooooo what is it, what are you like trying to get at? because i am still me, still the same person, and now i know no one loves me, and no i am not going to eat worms, unless you count curry chicken worms? which dead black jamicans, maybe, soulless and unrepent even when they are wrong, another earth quote down in the books, or maybe that was light work or misinformation, no black people were harmed in the making of this news story. so earthquake, drake has a plane, and the ugly jenner that sells makeup is a billionare, yea the empire has long since fallen"
103,"Just saw this series of videos and I'm now hungry for more. Congratulations on your unique capacity to make visual very complex information. The last episode flew a bit over my head at times, but I really appreciate you took the time to go to that level"
104,"huh, im surprised at how simple the actual network part is"
105,16/10 --> 1.6... wonder why 16 was a nice number to put into the screen
106,卧槽，讲的真好，感谢大佬翻译
107,Leisha speaking out of nowhere gave me a heart attack. Interesting concept of ReLU introduced though :D
108,"A phenomenal explanation , I can't find words to thank you"
109,+playlist
110,"People who dislikes this video, their neurons are not working as expected."
111,🤯Thank you
112,"Gosh, and I was complaining that sometime ago I used to went to a place that all that I should do is learn… I was in paradise and didn’t knew it"
113,Thank you for keeping the video simple yet highly educational. Looking out for more content.
114,Is there a code related to this video in Github?
115,9 is a denial within a prime
116,Thanks YEAH
117,"First i will like the video, pray for you, give a big hug and then watch...Thankyou for everything!"
118,Hii Every one
119,Wow amazing video. But how did you simulate the neurons movement's. Could you help me with that?
120,??????
121,"The vigorous maria uniquely change because paul successfully cover a a undesirable birthday. subsequent, common heart"
122,Díky!
123,"When i scrolled through my recommendations, i had an optical illusion due to the connections of the dots in the thumbnail as soon as the thumbnail moved."
124,Faking society
125,"Sorry but this gave me a stroke watchiny and I'm only on the first part. If somebody wants to help me basically what I got Is, The Algorithm once fully complete looks for specific shapes curves and angles with a bias setting for lenience, Than puts mulite parts of the shape together to see witch shape it most correlates with? Also I wanted yo make this neardy joke. I don't have enough neurons to understand these neurons and Have the information usable in my head"
126,Looks like positronic brain networks aren't that far off. This brings me several steps closer to understanding cascading failures both in AI and actual human neurons. It's exciting. Thank you.
127,감사합니다.
128,We have this project to recognize the handwritten numbers and animals in University. This is pretty hard to understand.
129,"Excellent video.  I will watch the whole series.  You mention that most people don't receive notifications about your videos.  Apparently, you cannot sign up for notifications of videos that are ""made for children."""
130,I have to clean my screen everytime i watch 3B1B videos
131,"This guy is the master of explanations !
Anyone interested in a serie on ConvNets and/or RNN ? 
The fact he mentions them as possible future videos but still didn't do it makes me think he either doesn't have time, or he thinks those models have no future 
Thanks !"
132,"So are the weights randomly determined when the network starts out? Then slowly over time, the weights start taking shapes that correspond more clearly to digits?"
133,Bullshit!
134,If im trying to highlight specific pixels is it enough if I add negative weights to the connections im not interested in or do I have to add biases too?
135,Thanks!
136,Thanks
137,"Traditionally, a bias unit is added to the layer with a value of 1 and an associated weighting parameter. Only on the hidden layers."
138,Dislikes are those people who didn't get it.
139,Thanks for such good video
140,"at 3:51 I paused, clicked on your channel name, viewed the other topics, and then subscribed. Excellent explanation!"
141,"Gonna be honest, I find this explanation to be so much clearer and transparent than another popular youtuber's"
142,"uhmmm...im living under the rock, so will u explain?"
143,"Wow .... you showed that doing your (hard) work, you made the concept so easy for everyone to grasp.  Amazing & it wants me to keep learning (& remembering my linear transformation :-))"
144,"wow, the value of knowledge... is like 4 years of study in just 20 minutes"
145,"Thank you, I’m grade 12 student doing the seminar on the topic of neural network, this video help me very much!"
146,Very impressive video.  I just subscribed.  What software do you use for creating the videos with the wonderful animation?
147,"Every single time I watch one of your videos, I can't stop being astonished by how genius of an educator you are. Thank you so much for these explanations, you are doing great good for a future generation of technical experts (and more)"
148,Her name Veronica
149,Suddenly woman appears
150,It was quite complicated but no less but least
151,4k: /tidak melulu sedemikian sehingga
152,"Thank you Grant, you are the best..."
153,"To get to this channel in the YouTube algorithm start by watching anything where Smarter Every Day does a colab. Then you get recommended Veritasium. In search for deeper understanding of the concepts in those videos on you proceed to PBS Space Time. Because they assume you're already studying quantum physics you go to Minute Physics to get more detail. Then the logical conclusion is you end here and look where you kept those books on learning Python that you never opened 😜

Edit: browsing the videos on this channel shows that it could've been a single hop from ""Smarter Every Day does a colab"" LOL 😂 Probably there is something like six degrees of separation between YouTube videos on similar topics."
154,"pure gold, bro"
155,"There is one problem with the explanation in that video, which may or may not be addressed in your later videos, that I have not watched yet.  You seemed to assume that the number 7 would be more or less centered in the window, so that the horizontal line that forms the top of the 7 could be associated with specific pixel locations.  But you could have a small 7 in the upper right corner, and none of the pixels located where the horizontal line of the 7 is expected would actually light up.  So the system has to be way more sophisticated even just to pick out a 7.  It would need to identify a pattern with a more or less continuous, more or less horizontal, line, surrounded at both top and bottom by blacked out patterns.  And it would need to do that whether the line was long or short, regardless of where it was located in the window, and regardless of whether it slanted a bit up or down rather than being perfectly horizontal.  I can imagine trying to write a formula that would identify such a line, but it would be complicated.  And actual neural networks don't work by having people figure out such functions, right.  Somehow the machine identifies the relevant pattern.  Despite the fact that this video was useful, it must take a lot of study before how this all works gets less opaque."
156,"After i watch this video, i sure that, ""just act like software engineer as usual  instead of learn about data scientist"""
157,Rong
158,"You can train your neural network for image classification even without writing any code in an Android app called Pocket AutoML. It trains a model right on your phone without sending your photos to some ""cloud"" so it can even work offline."
159,"With ReLu, the output of the function is no longer between 0 and 1. Is that an issue?"
160,there are exactly 42 bias... this neural network has the answer for everything inside it!!!
161,"squishification
likification
subscribification
sharification
replyification"
162,"I have an question ⁉️

Hi, im currently in my journey of studying Data science and machine learning .

But I'm very bad with the needed Linear Algebra, Calculus, statistics Etc.

I'm very sharp with learning and i pick up everything very fast too, so there shouldn't be a problem in learning it.

My question is this, what do i need to know before I jump in to linear algebra Calculus statistics etc for data science and machine learning.?

Would you be so kind and let me know in a replay in what order and what i have to study to get there with the knowledge needed to succeed in those fields....

I'm Very determined, i have given myself 5-10 years to master Data science and machine learning .

I would be so thankful to you if you could give me a guide, and maybe the place i would be able to go over and study all that too, if its on some of your videos I'll study there too.

My idea was to study at Coursera.

Thank you.! ❤️"
163,you are simply one of the greatest gift to humanity....
164,if i ever become something in AI imma have to thank you first my g :)
165,"Me, feeding a neural network it's own weights and outputs into it's inputs to make it self aware:
*Detroit: Become Human*"
166,Hey is that an Artificial Neural Network  (ANN ) example cuz it can recognise number images but its not CNN ? HELP ME WHAT TYPE IS THIS NETWORK ITS IMPORTANT
167,Extended self thoughts understand concepts more deeply than face-to-face teaching. No professor will ever explain a basic concept this way.
168,"These are not educational vids, it's infotainment vids"
169,Dhiidjr
170,So clear. Perfect. Thanks! 👌🏼
171,Python Deep Learning brought me here.
172,"14:52 - shouldnt the index of b-components end at ""k"" instead of ""n""? please correct me if I am wrong (been a long time since I did LA)."
173,"At 15:03, in the compact matrix equation, the last index of b should be k instead of n. Right?"
174,14:57 shouldn't the footnote of b (bias) from 0 to k instead of from 0 to n?
175,What would I need to learn to better understand and code things like this? Does a computer science degree or math degree would help?
176,Crazy shit man. I got into electronics just as transistors were maturing and became reliable. To stop and think about how many are involved in performing all these mindlike activities... 🤯
177,"This is flabbergasting! 
The most limpid course I've seen on this topic, and the layout is exceptionally beautiful. 
Congrats and many thanks!"
178,"I'm not sure, since I'm not color blind, but I suspect the green and red of similar alpha value is indistinguishable. Otherwise, I LOVE your videos."
179,"15:06 the dimensions of b is not correct. b should be [b0, b1, ..., bk] with (k+1) dimensions, not n+1."
180,wow....  great explanation
181,"amzing video i have ever seen,as a programer,Think you a lot"
182,Truly an amazing channel!
183,God she's smart and hot who is this God you speak of
184,"9:40 I have a question here: For example, if that is a part around the 7, this part is a certain amount of pixels in the square. It looks like you always have to write the numbers in the middle so that the network recognizes this. Is it possible that you write a 7 on the far right or on the left or on the top or bottom and the network recognizes that anyway?"
185,What if the number is skewed to a different area in the grid or scaled larger ?
186,Thank you for simple explanation;)
187,"Wow, so honored! ""THE FORMULAS OF NONPRIMES REVEALING ALL THE PRIME NUMBERS"" was named one of the best new Arithmetic books by BookAuthority!"
188,I'm a designer and idk what I'm doing here 😭
189,god is real
190,amazing
191,Can't believe how well explained and intuitive this is. I aspire to become a teacher like you.
192,I lost it at 15:39 . I love that way of teaching. Like the teacher simulating he's realizing something at the same time the student does.
193,This is such a good video
194,Your videos are extremely useful! Thank you. I have a request if you can create a video for an understanding of the Particle Swarm Optimization algorithm.
195,I can recognize that that's a 3 cuz that's the way i write it
196,11:24 Two Minute Papers reference!! Dr Carol John Ayy Farhere!
197,Shouldn't the bias matrix be have k values? Since n represents the neurons in the first layers and k represents the neurons in the second layers and bias terms each correspond a neuron in the second layer?
198,Subscribed! what a genius guy! Explained like a pro
199,"At 14:37 , shouldn't the length of the bias vector be k?"
200,I want to run simulations like this 3blue1brown. Any help on how to?
201,No salen los subtitulos al español
202,"you, and your work, is amazing. Period."
203,Piano song at the end? Nice vid
204,This video was AMAZING!
205,"The gabby alarm evidently remember because destruction provisionally concentrate anenst a cynical jaw. knowing, damp supermarket"
206,I have learned a lot from this video.
207,"I am just astounded. I spent so much time trying to understand this concept. Everywhere I looked people would show the similar neural network animation, but no one ever really explained and exemplified every single step, layer, term and mathematics behind it. 

The video is really well structured and with amazing animations. Extremely well done. My mind is so blown I can barely write this comment."
208,"i was sent here by googling what learn meant, and now i’m oddly intrigued and i’m scared😐✋"
209,"For humans feedback loops are crucial for image recognition. It is the neuron circuitry that matters in humans.
AI ""recognize"" things with convolutional neural networks. Which match patterns among layers and layers. This is probably a convolutional neural network."
210,DEEP Sorting. LEARNING implies Understanding. Ais don't understand that it is the Context that gives a behavior meaning and impact.
211,"If anyone's browsing comments still, I have a quick question on this video (specifically, around 12:30). How do we get that there are 784 X 16 weights in the first 2 layers? I got the example for one neuron, that each of the 784 neurons in the first layer have a weight and maybe a bias associated with them, and the weighted sum (and a bias) are inserted into a sigmoid function, whose output becomes the activation for that particular neuron in the 2nd layer. 

So does each neuron in the first layer have 16 different weights (one for each neuron in the 2nd layer)? This is the only way I'm able to think that there are 784 times 16 weights in the 1st layer."
212,will you make a whole course for deep learning
213,"Why can't we use sin^2(x) as our function it plots every input in [0,1] range. I'm a high school student plz explain?"
214,you are awesome dude
215,0:04 I was playing minesweeper and only just turned on the volume. I uncovered a 3 and heard this.
216,"The gray greasy great menu embryologically snore because peony concurrently preserve beyond a hoc beauty. heavenly heavy hellish, agreeable tune"
217,why am i here
218,Kinda strange that the ReLU looks like the transfer function for a diode in electronics. Huh
219,YOU SIR saved me.
220,samaj m nhi aaya lekin sunke acha laga
221,Me rewatching the same four seconds the seventeenth time: mhmm interesting
222,"The divergent soldier unquestionably afford because mice preauricularly attach mid a animated surfboard. spectacular, resolute sister"
223,a very good explanation
224,Thank you so much. Very nice and impressive.
225,Today I learned the word squishification.
226,Every bitcoin investor right now is just smiling at the price of bitcoin as it held strong and indeed valuable enough to generating good ROI. Do you know more persons are gonna become millionaires and we have bitcoin thanks for that.
227,"The useful nut predominantly scorch because kilogram macropharmacologically dare despite a lewd football. neighborly, lush way"
228,Awesome but complicated
229,"3Blue1Brown
What is the meaning of this word tool?
Is it a principle that you like?"
230,Hi! I like the video but I´ve a question: Do I must have a specified width and height of the image for image recognition like in this video?
231,Now I can ACTUALLY visualise in my mind my model going over any image to classify it. THANKS A BILLION!!
232,cool!
233,It's like a multiple filter layers.
234,"This video was a crucial part of a series of events that led me into choosing a post-graduation into machine learning.
Thanks, 3Blue1Brown! ❤"
235,Hmmm 🤔 sigmoid squishification function.... Nice.
236,"Thanks for making this, liked and subscribed!"
237,I love this video. THANK YOU!!
238,"How the video is well designed, i m impressed"
239,what software was used to create the animations?
240,"at 11:10 why does the bias makes it inactive? isn't sigmoid always positive? ( never zero )

Also, next question. Are the first hidden layer edges needs to be set its weights on a specific length-width in the pixel field? In other words, one would have to write a  program such that it detects all possible horizontal length combinations in field each with their unique widths? Is that it? That doesn't sound right . Note: width=vertical span, length=horizontal span"
241,Me as Russian : recognize 3 as з 🗿
242,I love linear algebra 😍
243,This channel is the perfect example of quality over quantity
244,"time 14:45; W_(k x 1) . a_(n x 1) = Wa_(k x 1), should b vector then be k x 1 instead of n x 1? this also seems inconsistent with the number of nodes in the second layer (assuming it's k)..?"
245,"What I feel like is, sgmoid function can have more information that ReLU but ReLU seems to work better as it's faster to train in a bigger network, so that we can always choose bigger network and train with ReLU instead of training with Sigmoid and having a lower network."
246,"Please let me take a note here, thank you.

1.上層如何影響下層
2.train為何發揮作用
3.為何我們覺得這樣合理:layer能有效的運作
4.我們希望hidden layer怎樣運作"
247,You are the best teacher I have come across so far. Wish we can have teachers like you in school and universities. Complex life would become much simpler.
248,Cannot express how happy I am to finally see a good explanation of this that fills in the details instead of handwaving about neurons and training weights and such.  Excellent!
249,@3Blue1Brown i was happy to see your video linked as a college learning material! As non-compulsory curriculum ofc
250,"Hey, people..you follow the trend to end up as a machine-controlled human beings. Still excited developing reality that is going to control you? Slaves!"
251,Mmmmmm. Well.. Let's see
252,"dont watch guys ,i cant recognize my own handwriting now ,thanks to this guys expalining it i am Mesmerized"
253,The vector [b] should be a k \times 1 matrix rather than (n+1)\times 1 matrix ??
254,"Yeah but no are really just passing numbers back abs forth until the right number is found...

But when you don't know what the correct value should be how do you use the NN?  I think the NN needs to be reactionary taking in data... finding best reaction...while then adding extra organrlls to NN like  core, muscle memory and main memory, attach to each node...but that would mean each neuron has a different analysis function..."
255,bro hats off to your smooth explanation
256,"In the time at 10:32, it's mentioned sigmoid is used to transfer the weighted sum into a number that has a range of 0 to 1. However, at the end of the video, ReLU is used which is max(0, a). By using ReLU, will tbe program run into problem of having a number outside of the range 0 to 1?"
257,"May I know is it a typo at 14:42? The column vector for bias should go from b0 to bk, rather than b0 to bn. As there are a total of k neurons in the 2nd layer, rather than n neurons in the 2nd layer?"
258,Cool really helped me learn
259,Absolutely the way to train someone! Good Job
260,if i have 5000 training examples of handwriten digits of 20 by 20 pixels each image of 20 by 20 gives a matrix that i need to convert (unrolled) into 400 dimensions vector and each image that is of 400 pixels each single pixel in my 400 pixels image will  have one of its own input out of 400 inputs neuron  in first layer . so  when 5000 images will go through the input layer it will still have 400 inputs node in the first layer  but every every digit from 5000 will go through the input layer separately
261,"This is the best explanation I’ve seen on the subject.

Excellent. Subscribed."
262,First time someone actually convinces me to subscribe to the channel through requesting in the video
263,absolutely nailed it. professors having years of experience and PhDs can't explain this. I watched my professors video at least 3 times but still can't understand it
264,Awesome explanation 👏
265,SUDOKU
266,super comprehensive
267,"If anyone trying to understand how the bias plays its role. It is a behaves the same way as a ""shifting function"" ."
268,This video is incredible!
269,NOW I CAN CRACK THE CAPTCA CODE thanks for sharing this info
270,"Hey, i would like to cite You in my master thesis. How should i do it?"
271,"Thanks
For Hand written notes for this lecture series visit scwripple website and go to hand written notes category."
272,SUDOKU
273,"Hey pal, did you get a load of the nerd?  🤓"
274,Thank u for clearing the concepts. Every second of ur lectures is precious. Stay blessed. ( from pakistan)
275,i FIND HIS THE BEST EXPLANATION  ON  YOUTUBE BUT STIL  STUPID EXPLANATION  .... at some points contradicts itself
276,Thnx man.. it was a very easy and simple explanation I understood neural networks right away!!
277,"Dear Grant,
I worked out y=x^x (x to the power of x) and found for x=0, y approaches 1. Also for x=1, y will be 1. For x=1/e=~0.3678, y will have its minimum which will be 0.6922. beyond x=1, y increases continuously until +infinity. Here's my problem and I need your help, perhaps a video: 
for x= -infinity, y=0. For all even negative integers, y>0. For all odd negative integers, y<0. This means that for some value between an odd and even negative integers, y should cross the x-axis. But, what happens for real values between negative odd and even integers? How do we reconcile, for example, y for x=-2.4.
It will be y=(-2.4)^(-2.4)=0.122 and y=(-2.2)^(-2.2)=-0.176. so there should be a y=0 in the domain  -2.4<x< -2.2. So, I put x= -2.3.
y= (-2.3)^(-2.3) = ???  My Calculator says out of range! Why? Is  (-2.3)^(-2.3) =1/{(-2.3)^(2.3)}=
1/{(-2.3)^(23/10)}=1/{10th root of (-2.3)^23}. But (-2.3)^23 is a negative number so it's 10th root will be imaginary. But why can't we use (-2.3)^(-2.3)=(-2.3)^(-46/20)=
1/{(-2.3)^(46/20)}=
1/{20th root of (-2.3)^(46)}.
But (-2.3)^(46) >0 so it's 20th root will be real not imaginary!!!
How does y=x^x behave for x=non-integer negative values?

Behnam Ashjari"
278,Am I the only one who thinks that actually you need 11 outputs 0-9 for recognised numbers and 10 to report erroneus input. If you look the next video you can see that without teaching what is not a number one can get false positive answers.
279,legends say that every second is important in this video
280,"So I came up with this analogy today. I'm no math genius or scientist. I'm not even sure if this is right but I think it might be:

An artist paints a highly abstract painting of his own dog. Then he takes his approximation to his friends house and shows him the abstract painting... His neighbour shouts out ""wow you painted my dog!"" the artist exclaims ""no it's my dog!"".

So the artist and the neighbour are the neural nets outputs both looking at their dogs and comparing them to the image and realising its a dog. The data in the net is the painting and the inputs are the actual dogs themselves.  It's the randomisation and abstraction of the original input that allows it to be inpreted in different ways and compared with multiple things.  The uncertainty of what the image is, is what is creating some sense of certainty.  

Am I way off with this? It's quite a heavy topic 😅"
281,"Making a list of appropriate software , hardware , and laboratory resources that are most appropriate to supplement quantum  human medical science in the environment of a vehicle capable of quantum networking and navigation about the solar system/universe"
282,Fourier Vectors for neural networks
283,Thank you very much for this video! It was really well visualized :)
284,"For 15:00, should the last matrix for the bias be b_k, rather than b_n? Cause it looks like there are n+1 neurons in layer 0, and k+1 neurons in layer 1, and the bias is for the neurons in layer 1, so there should be k biases, right?"
285,Thank you..
286,Thanks for the translation into Arabic
287,"you are generous god, thanks a lot"
288,@7:07 it would've been nicer if you'd used 187. just saying.
289,What are the future lottery numbers?
290,This is what schools should be teaching.
291,Awesome. This is exactly how we might just create our destruction. The nukes at least still needed someone to press the button.
292,Best explanation eveeerrr
293,"I think my neurons are all sigmoid, whereas those genius kids got ReLU brains."
294,"At 15:00, I believe the dimension of bias should be k by 1 instead of n by 1."
295,"Amazing vid! Question at 14:46, shouldn‘t the bias vector be of dimension k?"
296,Maybe I'm missing something but shouldn't the bias vector at 19:13 go from b_0 to b_k? The result of multiplying a the weights (which are k x n) by the input vector (n x 1) will be a (k x 1) column vector - or are we adding bias prior to multiplication?
297,"sir, I need diabetic retinopathy using cnn project explanation.... can you please help me... thanking you sir"
298,Fantastic
299,Incredible. As always
300,I hadnot understod anything its not for human
301,sigmoid squeshification :D:D @11:16
302,Any fellow AI devs in 2021 watching this?
303,If u want A Human Neuron Experiment Go Check Vsause lol
304,"Someone used this video series to make a neural network in SCRATCH. Yeah, Scratch the block-based kid programming language. His name is nishpish, you can search him up there."
305,Absolutely the best explanation of this common visualization and how neural networks work.
306,"Currently doing my capstone on deep learning and this is among the best, and easiest to understand descriptions I have seen."
307,"I love how smooth the sine waves you use for the animation movement are, (when the pi's move their eyes from one side to the other the acceleration is determined by a sine function if you didn't know)"
308,"Electric engineers: ramp
Computer scientists: *_ＲＥＣＴＩＦＩＥＤ　ＬＩＮＥＡＲ　ＵＮＩＴ_*"
309,"If the activation range of the input layer is 0 to 1.0 where zero is black and 1 is white, how does using a negative weight for the pixels just outside of an edge increase the activation of the edge-detecting neuron in the second layer? If the activation in the input layer can be a negative value then I can see how using a negative weight would work to increase the activation in the edge-detecting second layer neuron (negative * negative = positive). Is there an error in your video or am I missing something? Love this series."
310,But this work with chinese idiograms?
311,No one can make it more simpler than this.
312,help why isnt my brain working
313,"Many of Us have a Good school
Many of Us have a Good education
Many of Us have a good lecturer

----------------------------------------------------

But just few of us have a (Great) of those things
But When I saw this video. Everything of (Great) come with 19 minutes.

God bless you and who ever in charge to evolve this chanel.
Thank you from Indonesia"
